task_id,mode,classification,stop_reason,discovery_nanos,successful_search_rerun_nanos
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_nil_inv.prove,committed,closed,other_or_unreported,4300614558,4308636572
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_nil_inv.prove,search,completed_discovery_failure,core_search_exhausted,21228997808,
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_perm.prove,committed,completed_discovery_failure,ambient_resource_limit,26244606783,
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_perm.prove,search,completed_discovery_failure,ambient_resource_limit,18383919930,
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.count_insert_other.prove,committed,closed,other_or_unreported,6968350799,6776539855
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.count_insert_other.prove,search,closed,other_or_unreported,8677576506,9297859987
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.insert_bag.prove,committed,completed_discovery_failure,core_search_exhausted,7449044443,
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.insert_bag.prove,search,completed_discovery_failure,core_search_exhausted,8162686518,
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.insertion_sort_correct.prove,committed,completed_discovery_failure,core_search_exhausted,6983379034,
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.insertion_sort_correct.prove,search,completed_discovery_failure,core_search_exhausted,6205781194,
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.perm_bag.prove,committed,closed,other_or_unreported,2108216822,3772082963
